country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Indonesia,1120000,1130000,1110000,720000,1010000,2100000,2120000,5090000,9790000,14200000,16700000,16900000,17200000,19600000,26400000,29100000,30200000,32300000,35300000,37100000,39500000,43400000,46000000,47700000,54400000,54600000,57600000,59100000,58100000,63000000,62700000,60900000,67000000,70200000,67100000,67600000,66900000,64400000,66400000,69200000,77100000,73300000,69400000,68800000,67700000,67500000,62700000
Iran,3330000,8060000,10900000,12000000,12500000,13000000,13200000,13400000,8410000,8100000,4320000,4700000,6430000,7350000,8560000,9230000,8870000,10900000,11800000,14900000,23600000,27800000,29400000,15700000,25000000,30400000,35700000,37500000,42400000,50500000,53700000,59700000,70900000,74400000,86800000,92100000,100000000,112000000,118000000,129000000,137000000,144000000,150000000,150000000,167000000,170000000,182000000
Iraq,706000,833000,842000,819000,752000,1170000,1620000,1060000,1100000,1580000,1150000,558000,612000,423000,531000,765000,1400000,3380000,5040000,5810000,3580000,1570000,2040000,2300000,2850000,2850000,2920000,2750000,2660000,2860000,2840000,2480000,2120000,1400000,900000,1310000,1310000,1310000,1690000,1030000,1170000,788000,581000,1060000,814000,902000,1020000
Italy,10800000,11000000,11700000,12600000,12600000,12000000,12900000,11300000,11300000,11000000,10300000,11500000,11800000,10600000,11200000,11500000,12900000,13300000,13500000,13800000,14000000,14100000,14700000,15700000,16500000,16300000,16400000,15900000,15700000,14400000,13700000,12600000,12100000,11500000,10700000,9960000,9060000,7950000,7580000,6560000,6880000,6920000,7050000,6330000,5860000,5550000,4740000
Kazakhstan,,,,,,,,,,,,,,,,3900000,4170000,4510000,5100000,4800000,5090000,5220000,4890000,4410000,2730000,3430000,2970000,4830000,4240000,5640000,7080000,7220000,7700000,9280000,10900000,11500000,12000000,12400000,14400000,14900000,15800000,15600000,15500000,16600000,16900000,17100000,17900000
Kuwait,1830000,1890000,2240000,2510000,2640000,2890000,3480000,3790000,4250000,5630000,3660000,4220000,3310000,3630000,3940000,3780000,5160000,4300000,6160000,7340000,3770000,450000,2360000,4880000,5370000,8350000,8370000,8340000,8540000,7780000,8640000,8550000,7840000,9000000,9810000,11100000,11200000,10100000,11400000,10300000,10600000,12200000,14000000,14700000,13500000,15200000,15400000
Libya,265000,637000,2550000,4080000,3670000,4170000,4300000,4550000,4610000,6110000,4650000,2840000,3020000,3340000,4140000,4680000,5040000,4500000,4950000,6120000,5580000,5890000,6090000,5720000,5750000,5710000,5780000,5910000,5720000,4680000,5290000,5560000,5310000,4950000,7250000,10200000,11900000,13800000,14300000,14300000,15100000,7070000,9970000,10500000,10200000,10600000,9080000
Malaysia,0,71300,99800,99800,208000,251000,299000,273000,2030000,2520000,2250000,1890000,2380000,5740000,8720000,9630000,13000000,14000000,14500000,15600000,15500000,18400000,19100000,20700000,21300000,24200000,30700000,35000000,35100000,35700000,42000000,41400000,42700000,44700000,51000000,57500000,56400000,55400000,57400000,55000000,50600000,56000000,55400000,60500000,61500000,64100000,66500000
Mexico,10100000,10000000,10400000,11400000,11900000,12100000,11900000,12600000,15800000,19100000,23100000,24900000,26600000,26800000,26400000,25600000,22800000,23200000,23500000,22500000,24400000,24700000,24000000,25700000,27300000,27000000,29400000,31100000,33700000,33800000,34500000,34600000,35800000,37500000,39000000,47000000,51600000,48200000,48000000,53300000,51800000,52400000,51500000,52400000,51400000,48700000,42500000
Myanmar,6750,13100,14000,16900,151000,162000,225000,207000,243000,243000,315000,378000,405000,540000,576000,828000,963000,1070000,936000,981000,765000,774000,783000,990000,1290000,1480000,1440000,1360000,1580000,1550000,3060000,6300000,7560000,8640000,9180000,11000000,11300000,12200000,11200000,10400000,11200000,11500000,11500000,11800000,15200000,17600000,17000000
Netherlands,24000000,33200000,44200000,53800000,63800000,69100000,73800000,74000000,67800000,71100000,68700000,63800000,54600000,58100000,58800000,61600000,56300000,56400000,49800000,54400000,54900000,62100000,62500000,63700000,60200000,60900000,68900000,61000000,58200000,54100000,52200000,56000000,54200000,52200000,61600000,56200000,55400000,54400000,59900000,56400000,63400000,57700000,57400000,61800000,52100000,39000000,36100000
Nigeria,100000,185000,248000,380000,355000,318000,590000,777000,941000,1240000,1500000,2210000,2300000,2610000,2510000,2380000,2770000,2740000,3300000,3820000,3640000,3550000,3840000,4380000,4000000,4350000,4890000,4710000,5700000,4110000,10600000,14500000,16200000,20300000,22000000,22500000,26600000,33200000,32500000,23400000,33600000,36500000,39000000,32600000,40500000,45100000,40400000
Norway,0,0,0,0,0,0,0,2390000,12800000,18600000,22600000,22500000,21600000,21300000,23400000,23600000,23500000,25300000,25500000,25900000,22900000,22500000,23300000,22300000,24200000,25000000,33700000,38700000,39800000,43600000,44800000,48600000,59000000,65700000,71300000,77300000,79800000,81300000,90100000,93900000,96500000,91100000,103000000,97900000,97900000,105000000,105000000
Oman,0,0,0,0,0,0,0,0,365000,614000,779000,918000,1010000,1250000,1570000,2000000,2340000,2620000,2630000,2730000,2950000,2990000,3270000,3140000,3290000,4600000,4980000,5660000,5880000,6200000,9860000,14700000,15900000,17500000,17800000,19900000,23200000,23500000,23400000,24300000,26400000,27800000,29000000,31300000,30000000,31300000,31900000
Pakistan,3140000,3130000,2900000,3300000,3650000,4100000,4190000,4570000,4700000,5290000,6460000,7050000,7690000,7580000,7780000,7940000,8510000,9120000,9670000,10300000,11000000,11900000,11700000,13400000,13700000,14000000,15300000,15200000,16000000,18300000,19400000,20400000,22100000,27500000,33100000,35100000,35900000,36400000,37300000,37400000,38100000,38100000,39400000,38400000,37700000,37800000,37400000
Peru,372000,444000,427000,418000,430000,531000,576000,572000,598000,553000,594000,682000,716000,472000,637000,497000,527000,524000,494000,419000,401000,376000,339000,357000,373000,361000,366000,217000,368000,370000,311000,333000,398000,471000,774000,1370000,1600000,2410000,3120000,3190000,6510000,10200000,10700000,11000000,11600000,11200000,12600000
